Solution Name,Link,Summary,Who,Why,How,What,Category,Tags
Guitar Pick End Unit - TOM Arm Prosthesis,https://tomglobal.org/project?id=65d343e6a3e42b7b7d5256a8,This is a 3D-printed guitar pick holder attachment that connects to the TOM Parametric Arm Prosthesis enabling an amputee to pluck strings on a guitar.,"This project was designed and developed with Moshe Cohen, a below-the-elbow amputee who hoped to play guitar.","To play a guitar independently, players need to press selected strings against frets while simultaneously plucking the strings at the other end. For someone with only one hand, this poses a challenge!",The Guitar Pick End Unit is a 3D-printed attachment to the TOM Parametric Arm Prosthesis that enables the use of one or two guitar picks by an amputated arm.,This is a 3D-printed guitar pick holder attachment that connects to the TOM Parametric Arm Prosthesis enabling an amputee to pluck strings on a guitar.,Hobbies,condition:amputee; bodypart:hand; technology:3D Printing; assistivetool:prosthesis; general:music
Long Utensil Holder End Unit // Compatible with TOM Arm Prosthesis,https://tomglobal.org/project?id=66d5f3c9cb3e430013d62b49,"This project was designed for Noam, a below-the-elbow amputee seeking greater independence in the kitchen. It is an adjustable kitchen utensil holder that attaches to the TOM Parametric Arm Prosthesis, allowing the user to hold and use long utensils like spatulas or wooden spoons. By enabling stirring and scraping tasks, it helps overcome daily challenges and supports independent cooking.","This project was designed and developed with Noam, below-the-elbow amputee who hoped to achieve greater independence in the kitchen.",An arm amputation poses multiple challenges to the amputee’s ability to perform basic daily tasks such as using both hands to hold a spatula or use a wooden spoon to stir.,"This end unit has an ability to hold long kitchen utensils such as a wooden spoon, which helps to scoop food or stir a pot. The unit is printed as one piece and it's built so that a wooden spoon can be held through it.",This is an adjustable kitchen spatula/wooden spoon holder that connects to TOM Parametric Arm Prosthesis enabling an amputee to stir and scrape food out of a pan. Tools needed Protective glasses Fusion 360 Cutter FDM Printer,Hobbies; Fun/Leisure; Daily Living,condition:amputee; assistivetool:prosthesis
Violin Prosthesis - soft version,https://tomglobal.org/project?id=61f7c9ea80d3da1fe566f507,"The PJ Prosthesis Soft Version is a flexible prosthesis base design that enables amputees to independently perform daily functions and hobbies that require swift, precise natural movements, using custom and generic attachments.","The TOM Prosthesis Soft Version was designed for arm amputees who wish to engage in hobbies that require swift, precise natural movements.","Many amputees choose not to use a prosthesis in day-to-day life or when practicing certain hobbies because they are too bulky, heavy, uncomfortable, need to be charged, or simply cannot perform wanted actions. For Yael, we design a 3D printed part that holds the bow and provides her full control and freedom when playing.","The TOM Prosthesis Soft Version allows amputees to perform daily functions and hobbies independently using custom and generic attachments, while maintaining maximum comfort and control. The printed part is manually sewn to the soft base, making it customizable for every user!","The TOM Prosthesis Soft Version is a flexible prosthesis base design that enables continuous development of attachments to accommodate a wide variety of features and functionalities. Product Specs Approximate Cost: USD $15 Time Required: 7 Hours Watch the story of the TOM Violin Prosthesis here! The story of the TOM Violin Prosthesis from TOM Tikkun Olam Makers on Vimeo. To build this product, please download the product file and take adequate safety precautions when using manufacturing equipment. For any questions regarding the assembly, operation, or specifications of this device, please contact danays@tomglobal.org. To follow updates on PJ Prosthesis, other assistive tech solutions by TOM communities, and our global network of makers, follow us on social media here. Product Development History PJ Prosthesis is a universal platform that enables the continuous development of modules and attachments, both custom-made and generic, to accommodate a wide array of functionalities and features for different users of different sizes. Development of the PJ Prosthesis platform began in 2018 when TOM’s Tel Aviv community created a lightweight yet durable 3D printed prosthetic arm for IDF veteran Noam Guez. After losing his left arm in basic training, Guez wanted a comfortable device to regain his independence in daily tasks and beloved hobbies like cooking (especially Shakshuka) and painting. TOM: Singapore adapted the platform in 2019 to accommodate the needs of Tan Wee Boon, a Quadruple Amputee who lost his limbs to a flesh-eating bacteria, resulting in the PJ Prosthesis Double Amputee Module. This new module employs generic functions for double upper-limb amputees, such as easily attaching and removing the device independently using a pull string, as well as tailor-made sizing and functionality to allow the user, Boon to shower and use the toilet independently. Additional developments in Singapore include refining the prosthesis base to boost the appeal and creating a grip for holding spoons and bottles. See the PJ Prosthesis Double Amputee Module here. Most recently, TOM: Shenkar outfitted the prosthesis with two new specialized attachments to the modular limb to allow Yael and Itamar (27) in Israel to play the violin and drums respectively. These developments took place at the annual Merkaha or Jam Week at Shenkar College of Engineering and Design in Israel, where Shenkar’s TOM community held a 72-hour makeathon. Additional PJ attachments developed at the TOM: Shenkar Makeathon includes a smartphone holder for Itamar, and a chef’s knife attachment for Ester. “TOM communities hope to develop multiple product lines of modular device attachments for PJ to enable amputees to regain freedom of function and pleasure in the arts, crafting, and more,” says Daniel Levy, Head of TOM R&D. Levy heads the development of PJ, along with two other industrial designers from Tel Aviv. PJ Prosthesis has been featured in Channel News Asia, the Jerusalem Post, and Baltimore Jewish Life. Changing the World with a Modular Prosthesis by TOM from TOM Global on Vimeo.",Daily Living; Hobbies,condition:amputee; bodypart:hand; technology:3D Printing; assistivetool:prosthesis; general:music
3D-Printed TMT Butterfly Chest Strap,https://tomglobal.org/project?id=65ef36f0c360e62929121cd5,"This is a 3D-printed version of the TOM Butterfly Chest Support. It is an adjustable postural support system that can be attached to various seating devices, such as the TOM Toddler Mobility Trainer and Portable Modular Toilet Seat.","Designed initially for our Toddler Mobility Trainer and Portable Modular Toilet Seat, this product aims to provide additional postural support for any child who may need it","Current design requires a lot of sewing, and this design is entirely 3D printed and/or ordered and assembled by hand with no tools.","This design requires no sewing or assembly skills, so this will be far easier to produce especially for larger scale TMT builds. It takes about 5 hours to print, but under 5 minutes to assemble.",This design is a 3D printed butterfly strap with a button style securement method for the buckles that can be put together by hand. Tools needed PC or MAC I7 + FDM Printer,Daily Living; Therapy,
Kangarun: Dynamic Stander,https://tomglobal.org/project?id=672a46bd6b078200139f96e0,"The stand is used to keep the child in a standing position, offering the necessary support so they do not have to exert effort with their legs. This allows the child to engage with their surroundings and peers at eye level, promoting social interaction and participation in daily activities without physical strain.","This product is designed for young children like Nathaniel, a two-and-a-half-year-old with a progressive metabolic condition that affects muscle function and movement, limiting his ability to stand independently.","Nathaniel is highly alert and motivated to engage with his surroundings, but his physical condition prevents him from standing on his own. This product was developed to strengthen his leg muscles and enable him to participate in activities while standing, which is essential for interaction with peers and overall development.","It is a supportive stand that securely holds a child, allowing them to maintain an upright position without putting strain on their legs. The design is focused on ensuring safety while promoting engagement in their environment, such as in a kindergarten setting.","The stand is used to keep the child in a standing position, offering the necessary support so they do not have to exert effort with their legs. This allows the child to engage with their surroundings and peers at eye level, promoting social interaction and participation in daily activities without physical strain. Tools needed CNC Router + R10 roundover bit Sander and sandpaper (≥ 400 grit) Hammer Electric drill Phillips head bit Conic hole bit (if CNC is only cutting one side) M6 allen key 1.5mm allen key Laser cutter Scissors Sewing machine + sewing clips or pins",Daily Living,condition:CP; condition:motor problems; bodypart:legs; bodypart:full body; assistivetool:crutches; condition:autism; assistivtool:walker; condition:walking problems; age:kids
Affordable hinged Ankle-Foot Orthosis,https://tomglobal.org/project?id=6a0f30744275ea0013c4d6d9,Affordable hinged Ankle-Foot Orthosis,People who have mild to moderate foot drop or who need ankle support.,People who are uninsured are unable to afford a prescribed hinged AFO. There is also no off-the-shelf alternative that provides an equivalent solution.,It keeps the ankle in the desired position (in most cases: neutral) which facilitates a user's walking patterns.,A device capable of assisting a person's gait speed and prolonging their walking distance. Tools needed Protective glasses PC or MAC I7 + Fusion 360 Prusa slicer Measurement tool Screwdriver set Allen keys set Pliers Wood Filing Tool scissors Circular saw Dremel FDM Printer,Daily Living,
Lefty - One Hand Diaper Changer,https://tomglobal.org/project?id=62e129341d56322f7170cb02,This solution transforms the process of changing a diaper into a simple and efficient task that individuals with only one usable hand can do on their own.,Our need-knower is a woman who’s about to become a mother for the first time. Her right hand is paralyzed due to spine surgery. Our Need-Knower wants to have the independence of changing a newborn's diaper with one functional hand.,"The waterproof lightweight diaper changing pad has features that allow opening a new diaper, spreading the baby's legs, cleaning the baby's intimate areas, and changing the diaper effectively indoors and outdoors. It is an affordable easy-to-use, easy-to-clean solution.","We created a compact product that solves the problematics steps: from opening the diaper with one hand, crossing the legs to changing the baby's intimate areas with one single active hand. This solution is suitable for a wide range of people as well. Tools Needed Fabric scissors Serger/overlocker sewing machine Cloth tape measure Sewing machine Embroidery needles Box knives Sewing needles Snap setter Bill of Materials Please see detailed BOM and printing models in the downloadable product file. Estimated Time to Make 1 hour of machine time 5 hours of assembly time","We created a solution that transforms the process of changing a diaper into a simple and efficient task for our Need-Knower. The solution will assist in critical steps of the process, allowing her to perform on her own on a regular basis.",Daily Living,condition:amputee; condition:paralysis; general:vest; condition:motor problems
Dressing Assistance Device,https://tomglobal.org/project?id=6a16c02e4ab7ac0012a93dc6,Dressing Assistance Device,"People with lower-body mobility impairment who have difficulty dressing or undressing lower garments independently, especially in the bathroom.",Roni is paralyzed in the lower part of his body and cannot undress and dress in the bathroom without the help of others. He sought a solution that would allow him to do this independently,We offer a ceiling-mounted dressing assistance device using two adjustable lifting belts. The belts are positioned under the user’s arms and provide body support while seated.,"The device slightly lifts the user above the toilet seat, creating enough clearance to dress or undress lower garments independently. Because the user’s arms remain free, they can manage clothing without assistance from another person. Tools needed Heavy duty gloves Measurement tool",Daily Living,
Independent Feeding Device,https://tomglobal.org/project?id=640a81396377df4983c8648d,Independent Feeding Device,Jameson is a young boy with an autoimmune inflammatory brain disorder. He has mild to severe mobility issues and eats through a feeding tube.,"Jameson wants to go to summer camp, but the camp does not have a registered nurse. Therefore, due to liability issues, Jameson needs to be able to feed himself independently.","Jameson will be able to use this device to independently feed himself at summer camp, as well as at school and at home.",Our proposed solution is a manual syringe pump with a specialized handle that Jameson will be able to easily turn to drive the motion of the syringe. Tools needed Fusion 360 Clamps Allen keys set Cutter Rubber Hammar scissors sewing machine FDM Printer Laser Cutter,Daily Living,
TeraBridges Motorized TMT,https://tomglobal.org/project?id=6a09c4a945f88f0012021ab3,TeraBridges Motorized TMT,"Toddlers and preschoolers  with mobility impairment at Child's Way- a daycare facility for medically fragile children located in Pittsburgh, PA","Many young children with mobility impairments lack affordable powered mobility devices due to high costs. They may struggle to push standard TMT wheels independently. Our Motorized TMT offers a safe, stable, low-cost solution for mobility and independence.","We adapt a 3D-printed TMT with motors into a safe, low-cost mobility solution. Without changing the TMT design, motors drive Rhino wheels attached to the TMT wheels. A joystick controls motion while the electronics limit speed for a safe, stable operation.","We are adapting a 3D-printed TMT with motors to create a safe, low-cost, and easy-to-build mobility solution. Children control movement with a joystick, while automated electronics limit speed for safe and stable operation. Tools needed Protective glasses PC or MAC I7 + Measurement tool Digital caliber Clamps Screwdriver set Allen keys set Ratchet + Boxes set Pliers Needle-nose pliers Cutter scissors Monkey wrench Electric Srewdriver Hot air blower FDM Printer Soldering set Cable stripper Tester",Daily Living,
HeavyVest,https://tomglobal.org/project?id=67bda1fe30ee740012e1d7ee,HeavyVest,"HeavyVest provides deep pressure therapy for children with ASD, ADHD, and SPD, helping with anxiety, focus, and sensory regulation. It should weigh 10% of the child's body weight, up to 1340g.","HeavyVest helps children by: Promoting calmness and focus through deep pressure. Enhancing physical and sensory integration. Supporting posture and muscle strength. Improving balance and outcomes for children with ASD, ADHD, and SPD.","The vest works by: Using adjustable, removable weight pockets for therapy needs. Distributing weight evenly for deep pressure and self-regulation. Offering flexibility for daily activities, school, or therapy.","HeavyVest is a customizable, durable therapeutic tool made for comfort. It features adjustable weight pockets for tailored therapy, helping reduce anxiety, improve focus, and promote relaxation in children with sensory sensitivities. Tools needed Measurement tool scissors sewing machine scissors set of needles",Outdoor; Daily Living; Therapy,
The-Super-Standing -frame,https://tomglobal.org/project?id=6638f3188a678500137443ea,"A standing frame device and speech therapy in order to complete his whole rehabilitation process, additional stuff like clothing or other can be used also in the process","two years old Diagnosis/ Delay development Brief Description of the Case: premature child case of delay development with intravenous hemorrhage grade one, which affected his overall physical condition; when first assessed him on june 2023","this project will help , Mahmoud and other kids who face Delay development challenge , in way that the solution is affordable and adaptable , and can be customized , to get closer to a full recovery status",the frame will help Mahmoud and kids with similar challenge be able to stand and walk and develop and read state of very close to recovery,"standing frame device and speech therapy in order to complete his whole rehabilitation process, additional stuff like clothing or other can be used also in the process Tools needed Heavy duty gloves Protective glasses Face shield Protective headphones PC or MAC I7 + Fusion 360 Measurement tool Digital caliber Screwdriver set Cutter Hammer Rubber Hammar scissors Pull saw Leather punture Wood Filing Tool Nail Gun sewing machine scissors set of needles Electric Srewdriver Hot air blower Jigsaw Circular saw Hot glue gun CNC Machine",Daily Living,
Button Lever Attachment,https://tomglobal.org/project?id=69bd9d4712b3ce00124660c5,Button Lever Attachment,"Intended users of this Button Lever Attachment are individuals with limited hand or finger dexterity. This could lead to difficulty pressing small, unraised buttons on everyday items like electric toothbrushes or razors.",The Shepherd Center strives to increase patients' independence when performing activities of daily living such as pressing small buttons on everyday tools,"The Button Lever Attachment limits the need for fine motor movement when pressing small buttons by adding a lever extension with a larger, raised surface area.","The Button Lever Attachment is a small, 3D device that uses a raised and hinged lever which is zip-tied in place to enable the user to easily press small buttons. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living,
One-Handed Plant Clamp,https://tomglobal.org/project?id=698c53a927502f0013ce1715,One-Handed Plant Clamp,For individuals with limited mobility who have only one functional hand,To assist users in performing two-handed planting tasks with one hand,"The tool stabilizes and securely holds the plant in position, allowing the user to cut branches with scissors for propagation",A hand-operated tool designed for use with one functional hand. Pressing the handle opens small clamps that grip the plant upon release. The tool is directly mounted to the worktable using a clamp that can also be secured with one hand Tools needed Prusa slicer FDM Printer,Hobbies,
Tools for getting Dressed and Undressed,https://tomglobal.org/project?id=644f2b334996735f844bf651,Tools for getting Dressed and Undressed,"Lucas is a very funny and clever kid from Cochabamba, Bolivia. He is 12 years old. He loves to play with his gaming console. When he was born, he got cerebral palsy because of medical negligence and his left side would not work as expected.","Right now, he can’t insert his pants and underwear into his feet. He has the same problem when undressing.  Also, he is becoming a teenager and doesn't want his parents to put his clothes on.","This solution will make it easier to introduce his underwear, pants and socks into his feet. It will also help him take those clothes off without struggling so much.","It is a set of PVC pipe frames that have special forms so the user can place his underwear, pants and socks. They have two handles so he can place his clothes near his feet with ease. There is also a tool so he can undress himself. Tools needed Heavy duty gloves Face shield PC or MAC I7 + Fusion 360 Prusa slicer Measurement tool Digital caliber Screwdriver set Pliers Rubber Hammar Silicone gun Pvc pipe cutter Electric Srewdriver Jigsaw Hot glue gun FDM Printer Soldering set",Daily Living,
Portable Phone Stand,https://tomglobal.org/project?id=6a675929d9643800136fad34,Portable Phone Stand,"Anyone with a smart phone who loves watching TV, reels, or sports","Many individuals would love a way to utilize their phone while eating food or doing work, and want a cheap solution that is keychain accesible.","Provides a cheap, small, portable plastic holder that can be taken anywhere and works with iPhone/Samsung","A portable, keychain accesible phone stand with a working hinge, ruler, and slot for horizontal/vertical phone viewing Tools needed PC or MAC I7 + FDM Printer",Daily Living; Fun/Leisure,
TOM Figure,https://tomglobal.org/project?id=6a660d8a68db1b0013c18153,TOM Figure,"This product is designed for TOM interns, fellows, donors, partners, and visitors as a unique keepsake of their connection to the TOM community.","This project was created to provide a more engaging and memorable giveaway that better reflects TOM's mission, values, and maker culture.",This solution addresses the challenge by creating a customizable giveaway that represents TOM’s maker-focused identity and encourages greater user investment through hands-on assembly and personalization.,"Our solution is a TOM mascot figure made from interchangeable snap-together parts. Users can assemble and customize the figure with different colors and pieces, then use it as a keychain. Tools needed PC or MAC I7 + Prusa slicer Needle-nose pliers FDM Printer",Fun/Leisure,
Smart Paper,https://tomglobal.org/project?id=6a1580e84648830012af163a,Smart Paper,People with a disability in one of their upper limbs,"User knower, Kobi, a disabled veteran with limited right-arm mobility, needed a toilet paper holder for one-handed use with minimal effort and left-side placement.","In everyday life, using toilet paper is a simple and routine task. However, for individuals with limited mobility in one hand, this everyday action can become a significant challenge.","Our solution provides roll resistance, touch-free operation, and accessible installation. Tools needed PC or MAC I7 + Screwdriver set FDM Printer Soldering set Cable stripper Laser Cutter",Daily Living,
Violin Prosthesis - 3D printed version,https://tomglobal.org/project?id=5e6f8f2b94711e10b13ebdff,The PJ Prosthesis Violin Module is a 3D printed modular attachment for the original PJ Prosthesis that allows amputees to play bowed string instruments with ease. The device was designed for a violinist and should be applicable for other users wanting to play bowed string instruments.,,,,,Daily Living; Hobbies,priority; condition:amputee; bodypart:hand; technology:3D Printing; technology:sawing; assistivetool:prosthesis; general:music
Archery Prosthesis,https://tomglobal.org/project?id=64db323511cbb40cdff42ce5,"An adaptive archery device for individuals with hand amputations, offering support, flexibility, and control to safely draw, aim, and release a bow, making archery accessible to a broader range of athletes.","Adam, who experienced a work accident resulting in an amputated hand, wanted to start playing archery. This solution can also support other individuals with hand or wrist amputations who wish to participate in bow-and-arrow sports.","Adam needed a device that allows him to fully control hand movement for drawing, aiming, and releasing the arrow. The solution was precisely adjusted to his measurements to enable safe, effective, and enjoyable participation in archery.","The device supports the arm and hand while allowing full movement in the correct position for shooting. It also facilitates holding and releasing the arrow, with the option to use chin assistance for additional control, ensuring accuracy and stability.","An adaptive archery aid consisting of a rigid upper section strapped to the arm for support, a rigid lower section that holds the bow, and flexible material between the sections to allow full hand movement. This combination of rigid and flexible components provides both support and mobility. [Project formerly titled Bow and arrow] Tools needed Heavy-duty gloves PC or MAC I7 + Fusion 360 Measurement tool Clamps Screwdriver set scissors Pvc pipe cutter Nail Gun sewing machine scissors set of needles Electric Srewdriver Dremel FDM Printer",Sports,
One-handed broom,https://tomglobal.org/project?id=68457610ab4668001324c669,"This project was designed for individuals who need or prefer to work with one functional hand, providing balanced support and comfortable operation while sweeping. It features a broom with a horizontal handle for proper grip, an elastic band for support and stability, and flexible joints that enable smooth, ergonomic movement. The solution reduces pain from imbalance, supports proper posture, and even helps strengthen muscles during use.",This project is suitable for individuals who need or prefer to work with one functional hand and value balanced support and comfortable operation.,"This project is designed to enable the use of a broom and the performance of cleaning and sweeping tasks with one hand, without causing pain. The project also helps strengthen muscles and maintain a proper ergonomic posture during the activity.",The solution allows the user to work with less pain caused by imbalance and in a way that supports proper body posture.,"The solution in this project uses a horizontal handle for proper grip, an elastic band that provides support and balance during the activity, and joints that enable optimal movement. Tools needed Protective glasses PC or MAC I7 + Prusa slicer Measurement tool Screwdriver set Ratchet + Boxes set sewing machine scissors set of needles Electric Srewdriver FDM Printer",Outdoor; Daily Living; Therapy,
Upper Limb  Rehabilitation Board 2.0,https://tomglobal.org/project?id=68a49a24852c3e00128f838c,"It is a rehabilitation device consisting of a brace mounted on rails. The brace supports the patient’s hand and guides it through controlled lateral movements, enabling targeted exercises to restore and strengthen hand function.","This was designed with occupational therapists at a geriatric institute for individuals in rehabilitation who have weakened upper limbs due to injury, illness, or age-related decline.","Many geriatric patients experience reduced upper limb strength and mobility, which limits their ability to perform daily tasks independently. Traditional rehabilitation methods can be challenging without proper support, leading to slower recovery and patient frustration. A structured, supportive tool ensures exercises are performed safely and effectively, helping patients build confidence and progress more consistently.","The device provides a controlled environment for practicing spatial and lateral hand movements. By stabilizing the hand in a brace and guiding its motion along rails, it reduces strain, prevents unsafe movement, and ensures patients can focus on building strength and improving range of motion. This makes rehabilitation more accessible, safer, and more effective for patients with weak upper limbs, while also giving therapists a reliable tool to facilitate treatment.","It is a rehabilitation device consisting of a brace mounted on rails. The brace supports the patient’s hand and guides it through controlled lateral movements, enabling targeted exercises to restore and strengthen hand function.",Therapy,bodypart:hand; condition:CP; technology:3D Printing; condition:tremor; bodypart:fingers; condition:motor problems
Hand Splint,https://tomglobal.org/project?id=67c08b1830ee740012e26c29,Hand Splint,"Children with similar conditions, such as cerebral palsy, nerve impairments, muscular dystrophy, or post-injury rehabilitation needs, as well as rehabilitation patients, therapists, and caregivers.","It provides proper hand positioning, prevents complications, and offers a lightweight, customizable, and comfortable alternative to traditional splints.","Using 3D printing, the splint can be precisely customized to the child's needs, produced quickly, and at a very low cost, making it an efficient and accessible solution.","A lightweight, comfortable, and adjustable splint that is customizable to the child’s needs and affordably priced. Tools needed Fusion 360 sewing machine scissors FDM Printer",Therapy,
Universal Bottle opener,https://tomglobal.org/project?id=663262418a6785001372ab42,Universal Bottle opener,Anyone with use of one hand only,Brian had a stroke leaving his left arm paralyzed. He is looking for a way to open a bottle or jar of any size with one hand.,"The device holds the bottle or jar down securely, allowing the user to twist off the lid with their dominant hand without having to use another hand to hold it down.","The device allows the user to secure the bottle or jar in the clamp, and it can be attached to any surface with the use of suction cups. Tools needed Prusa slicer Hot glue gun FDM Printer",Daily Living; Hobbies,
Accessible Graphics,https://tomglobal.org/project?id=69ad49c5904ba30012ddc634,Accessible Graphics,Students with visual impairments and blindness,"Visually impaired and blind students face major barriers in math classes, especially with graphs. Traditional 2D drawings are inaccessible, making it incredibly hard for them to understand visual mathematical concepts and leaving them behind","The kit turns abstract math into a physical experience. By creating instant embossed lines, visually impaired and blind students can literally ""see"" graphs with their hands in real-time. This bridges the educational gap and allows equal learning","An accessible tactile drawing kit. It uses a special rubber pad and a pen. When a teacher or student draws on a standard paper placed over the pad, the lines instantly rise into a clear physical relief that can be fully explored by touch Tools needed Measurement tool Screwdriver set Stanley knife Hot glue gun",Daily Living,
Folding table for a wheelchair,https://tomglobal.org/project?id=66bdb1d51eafbd0012398aa2,"This project is for people with upper limb weakness or paralysis, who are at risk of shoulder subluxation. The solution is a few 3D-printed parts to help connect a ready-made transparent folding table securely to a wheelchair. This allows users to get in and out more independently and also meets caregivers’ needs for visibility and ease of use.",People with neurological damage - paralysis/weakness in the upper limb (leads to subluxation in the shoulder).,Today in rehabilitation they use a full table that does not allow exit and entry without the help of a therapist/family member,"The solution allowing people with neurological impairment to be more independent in space, to get out and get into the wheelchair and is transparent according to the requirements of the caregivers",A transparent folding table that conveniently connects to a wheelchair Tools needed Prusa slicer Screwdriver set Pliers Cutter Hammer FDM Printer,Daily Living,
Arm Prosthesis - GripEase,https://tomglobal.org/project?id=67caff49aed018001306cd38,Arm Prosthesis - GripEase,"This project was designed and developed with Need Knower, Malak. Malak has lost both her right and left hands and hopes to achieve greater independence in writing, drawing, and eating.","The loss of both hands poses multiple challenges to the individual's ability to perform basic daily tasks, such as writing, drawing, and eating using utensils.","The GripEase end unit combines 3D-printed and off-the-shelf parts to create an attachment to the TOM Parametric Arm Prosthesis, enabling individuals with bilateral hand loss to hold a pen for writing and drawing or to grip a fork and spoon for eating.","This is an adjustable gripper attachment that connects to the TOM Parametric Arm Prosthesis, enabling an individual with bilateral hand loss to hold a pen for writing and drawing or to grip a fork and spoon for eating. Tools needed Prusa slicer scissors FDM Printer",Daily Living,
Hemi Independence Strap,https://tomglobal.org/project?id=69524586b4f7cc0012f886fd,Hemi Independence Strap,"Hemi Independence Strap is for people with one-sided arm/hand weakness (e.g., post-stroke) using a forearm-support walker who need a one-handed way to secure and position the affected arm safely, without help.","Needed because users with hemiparesis can’t self-attach the affected arm to a walker, delaying safe transfers. The one-handed strap enables quick, independent arm securing, earlier walker adoption, more practice, and potentially shorter rehab.","It enables one-handed, fast arm attachment to the walker: the magnetic buckle closes easily, the twist-to-tighten strap sets secure tension, and rear Velcro wraps prevent slip-out—reducing assistance, speeding transfers, and improving stability.","Hemi Independence Strap: a 3D-printed TPU walker grip with a magnetic buckle and one-hand twist-to-tighten strap, plus rear Velcro wrist wraps—allowing users to quickly and safely secure the affected arm to the walker. Tools needed PC or MAC I7 + Prusa slicer Measurement tool Pliers Cutter scissors sewing machine scissors FDM Printer",Daily Living; Therapy,
U-Cuff Right Angle Pocket,https://tomglobal.org/project?id=699cb47e1c70e200126fdb1a,U-Cuff Right Angle Pocket,Intended users of this U-Cuff Right Angle Pocket  are individuals with limited hand dexterity. This could lead to difficulty hold small items like hygiene tools.,The Shepherd Center strives to increase patients' independence when performing activities of daily living such as holding small items like hygiene tools.,"The U-Cuff Right Angle Pocket limits the need for fine motor movements when using small, handheld items at a right angle by attaching items to the hand with a custom cuff rather than requiring the fingers to grasp.","The U-Cuff Right Angle Pocket is a handheld, 3D printed device that uses a customizable, universal cuff and slotted base to secure various hand-held items to the hand. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living; Therapy,
U-Cuff Mount,https://tomglobal.org/project?id=698f86c693fdb200129dfd43,U-Cuff Mount,Intended users of this U-Cuff Mount are individuals with limited hand dexterity. This could lead to difficulty hold small items like hygiene tools.,The Shepherd Center strives to increase patients' independence when performing activities of daily living such as holding small items like hygiene tools.,"The U-Cuff Mount is a handheld, 3D printed device that uses a customizable, universal cuff, Velcro straps, backing, and base to secure various hand-held items to the hand.","The U-Cuff Mount limits the need for fine motor movements when using small, handheld items by attaching items to the hand with a custom cuff rather than requiring the fingers to grasp. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living,
Modified Pant Hook,https://tomglobal.org/project?id=698f6bda93fdb200129df91b,Modified Pant Hook,Intended users of this Modified Pant Hook are individuals with limited hand dexterity. This could lead to difficulty using a traditional Pant Hook device.,The Shepherd Center strives to increase patients' independence when performing activities of daily living such as using a Pant Hook device during self-catheterization.,The Modified Pant Hook limits the need for fine motor movement to manipulate the small hook on a traditional Pant Hook by adding a larger handle on the opposing side.,"The Modified Pant Hook is a handheld, 3D printed device that uses a hook on one side, and a large handle on the other. This allows the user to easily manipulate the hook onto their pants, moving them out of the way during self-catheterization. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer FDM Printer",Daily Living,
Pronated Hand Cuff Stylus,https://tomglobal.org/project?id=698cfcf893fdb200129d2d10,Pronated Hand Cuff Stylus,Intended users of this Pronated Hand Cuff Stylus are individuals with limited hand dexterity. This could lead to difficulty holding a stylus pen for electronics.,The Shepherd Center strives to increase patients' independence when performing activities of daily living such as using a stylus pen.,"The Pronated Hand Cuff Stylus limits the need for fine motor control and when holding a stylus pen, often during cellphone or computer keyboard typing, by adding a hand cuff attachment.","The Pronated Hand Cuff Stylus is a handheld, 3D printed device that uses hand cuff and cylindrical slot a to allow the user to easily hold and move an inserted stylus with a pronated hand position without fine motor movement. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer Vise grip Pull saw FDM Printer",Daily Living,
Shower Head Handle,https://tomglobal.org/project?id=6978ed6c1b6a700014223890,Shower Head Handle,Intended users of this Shower Head Handle are individuals with limited hand dexterity or grip strength which make it difficult to grasp a shower head without assistance.,"Traditional shower handles are rounded, required considerable hand dexterity and grip strength to utilize. This project allows the user a custom handle for independence while using a shower handle.",The Shower Head Handle limits the need for hand dexterity or grip strength when operating a shower head by using custom splinting attached to the hand rather than a small cylindrical stem.,"The Shower Head Handle is a custom, 3D-printed device that uses a curved base, clamps, and slots for custom splinting material. This attaches to most shower heads and secures to the user's hand. Tools needed PC or MAC I7 + Fusion 360 Prusa slicer Screwdriver set scissors Hot air blower FDM Printer",Daily Living,
Assistive Seatbelt Handles,https://tomglobal.org/project?id=6a0111cd1311e800134532de,Assistive Seatbelt Handles,Wheelchair users unable to close their seatbelts independently due to limited dexterity,"Saif has a condition called Ullrich Congenital Muscular Dystrophy. Many wheelchair users, including Saif, experience limited dexterity, grip strength, or range of motion that makes operating standard seatbelt buckles difficult.",The solution addresses dexterity limitations through a custom mechanical attachment that fits onto both the buckle and tongue of a standard wheelchair seatbelt. The device provides handles to assist in leverage and guidance when fastening the buckle,"Our solution is two 3D-printed handles that mechanically clamp onto each side of the seatbelt buckle. These parts secure the seatbelt tongue and buckle, as well as provide an ergonomic handle on each side. Tools needed PC or MAC I7 + Prusa slicer Measurement tool Screwdriver set FDM Printer",Daily Living,
